City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,chicama,-7.8447,-79.1469,75.74,69,34,7.4,PE,1682548592
310,athabasca,54.7169,-113.2854,54.01,37,99,5.57,CA,1682548300
311,tovste,48.8466,25.7262,40.71,84,94,10.96,UA,1682548593
312,kyshtovka,56.555,76.6271,50.07,80,100,8.57,RU,1682548593
313,muriwai beach,-36.8167,174.45,63.36,75,95,5.06,NZ,1682548593
314,sisophon,13.5859,102.9737,78.21,82,85,3.11,KH,1682548593
315,feijo,-8.1642,-70.3536,74.17,96,64,1.99,BR,1682548594
316,verkhoyansk,67.5447,133.385,24.69,98,100,3.29,RU,1682548594
317,le port,-20.9373,55.2919,73.4,87,11,4.68,RE,1682548595
318,vostok,46.4856,135.8833,39.65,35,19,9.84,RU,1682548595
319,codrington,-38.2667,141.9667,61.5,82,100,15.73,AU,1682548595
320,alofi,-19.0595,-169.9187,82.29,74,75,11.5,NU,1682548596
321,provideniya,64.3833,-173.3,26.71,50,0,13.0,RU,1682548596
322,hobart,-42.8794,147.3294,56.05,85,0,6.91,AU,1682548308
323,beloha,-25.1667,45.05,63.97,90,8,2.86,MG,1682548597
324,noumea,-22.2763,166.4572,78.78,99,98,18.81,NC,1682548597
325,henties bay,-22.116,14.2845,64.09,82,42,8.21,NA,1682548597
326,pyaozerskiy,65.8333,31.1667,28.33,96,87,7.27,RU,1682548598
327,priargunsk,50.3691,119.1012,38.19,45,54,6.55,RU,1682548598
328,longyearbyen,78.2186,15.6401,26.44,80,0,4.61,SJ,1682548599
329,superior,46.7208,-92.1041,54.48,46,0,10.36,US,1682548599
330,gudalur,9.6833,77.2667,73.44,95,51,0.51,IN,1682548599
331,bollnas,61.3482,16.3946,34.66,99,100,3.11,SE,1682548599
332,kainantu,-6.2887,145.8655,67.41,86,89,2.17,PG,1682548599
333,puri,19.8,85.85,81.12,85,60,10.65,IN,1682548600
334,santiago,-33.4569,-70.6483,73.29,44,0,10.36,CL,1682548021
335,cruzeiro do sul,-29.5128,-51.9853,68.5,90,9,4.68,BR,1682548600
336,kenai,60.5544,-151.2583,46.49,53,75,8.05,US,1682548551
337,xiaoshi,41.2971,124.1209,42.66,75,100,8.55,CN,1682548600
338,fukue,32.6881,128.8419,58.35,60,4,3.29,JP,1682548600
339,taltal,-25.4,-70.4833,63.61,84,35,5.17,CL,1682548601
340,gambela,8.25,34.5833,74.82,81,19,3.06,ET,1682548601
341,san quintin,30.4833,-115.95,65.37,65,0,12.12,MX,1682548601
342,eureka,40.8021,-124.1637,88.75,75,41,6.24,US,1682548601
343,klyuchi,52.2667,79.1667,55.58,48,98,8.08,RU,1682548351
344,marevo,57.3146,32.0804,50.14,80,33,4.5,RU,1682548601
345,qaanaaq,77.484,-69.3632,-2.96,87,26,6.64,GL,1682548602
346,general roca,-39.0333,-67.5833,61.63,37,53,2.62,AR,1682548602
347,binga,-17.6203,27.3414,68.79,55,55,1.68,ZW,1682548602
348,bellary,15.15,76.9333,81.99,60,43,5.17,IN,1682548397
349,kiruna,67.8557,20.2251,29.32,100,100,5.75,SE,1682548603
350,burnie,-41.0667,145.9167,61.95,94,97,7.02,AU,1682548603
351,ingham,42.6,-84.3833,54.01,40,40,8.05,US,1682548603
352,shelabolikha,53.4131,82.6167,46.81,82,100,5.17,RU,1682548603
353,rundu,-17.9333,19.7667,69.58,38,42,5.73,NA,1682548603
354,polohy,47.4844,36.2536,54.52,79,97,7.29,UA,1682548604
355,marienburg,54.0359,19.0266,41.04,73,1,9.26,PL,1682548604
356,corinto,37.9407,22.9573,59.9,79,13,4.65,GR,1682548604
357,auki,-8.7676,160.7034,83.86,71,24,1.68,SB,1682548604
358,tilichiki,60.4667,166.1,19.47,74,62,7.09,RU,1682548396
359,ridgecrest,35.6225,-117.6709,87.03,9,0,5.01,US,1682548443
360,cabo san lucas,22.8909,-109.9124,86.61,44,0,5.75,MX,1682548493
361,caxias,38.7031,-9.2767,72.73,44,0,8.05,PT,1682548605
362,arzachena,41.0769,9.3887,51.24,77,26,8.7,IT,1682548605
363,montevideo,-34.8335,-56.1674,63.52,88,75,4.61,UY,1682548390
364,pacific grove,36.6177,-121.9166,75.38,78,0,8.99,US,1682548606
365,santa cruz de la palma,28.6835,-17.7642,68.14,77,0,4.61,ES,1682548606
